PROCEDIMENTO;RN_ALTERACAO;VIGENCIA;OD;AMB;HCO;HSO;REF;PAC;DUT;SUBGRUPO;GRUPO;CAPITULO
ANASTOMOSE HIPOGLOSSO-FACIAL;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE NERVO;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO DE NERVO PERIFÉRICO;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO FENÓLICO E/OU ALCOÓLICO;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO COM TOXINA BOTULÍNICA TIPO A PARA TRATAMENTO DE DISTONIAS FOCAIS, ESPASMO HEMIFACIAL E ESPASTICIDADE (COM DIRETRIZ DE UTILIZAÇÃO);;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DENERVAÇÃO PERCUTÂNEA DE FACETA ARTICULAR;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENXERTO DE NERVO;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENXERTO DE NERVO INTERFASCICULAR;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENXERTO PARA REPARO DE NERVO;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXCISÃO DE TUMORES DOS NERVOS PERIFÉRICOS (COM OU SEM ENXERTO INTERFASCICULAR);;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXPLORAÇÃO CIRÚRGICA DE NERVO (NEURÓLISE EXTERNA);;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXTIRPAÇÃO DE NEUROMA;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE DE GERADOR PARA NEUROESTIMULAÇÃO (COM DIRETRIZ DE UTILIZAÇÃO);;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LESÃO DE NERVOS ASSOCIADA À LESÃO ÓSSEA;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LESÃO ESTEREOTÁXICA DE ESTRUTURAS PROFUNDAS PARA TRATAMENTO DA DOR OU MOVIMENTO ANORMAL;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MICROCIRURGIA DE NERVOS PERIFÉRICOS;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
;;;;;;;;;;;;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;;;;;;;;SUBGRUPO;GRUPO;CAPÍTULO
MICROCIRURGIA DO PLEXO BRAQUIAL COM A EXPLORAÇÃO, NEURÓLISE E ENXERTOS INTERFASCICULARES PARA REPARO DAS LESÕES;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MICRONEURÓLISE;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MICRONEURÓLISE INTRANEURAL OU INTRAFASCICULAR;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MICRONEURORRAFIA;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEURÓLISE DAS SÍNDROMES COMPRESSIVAS;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEUROTOMIA;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEUROTRIPSIA;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REPOSIÇÃO DE FÁRMACO(S) EM BOMBAS IMPLANTADAS;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DE NEUROMA;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REVISÃO DE SISTEMA IMPLANTADOS PARA INFUSÃO DE FÁRMACOS;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RIZOTOMIA PERCUTÂNEA COM RADIOFREQUÊNCIA (COM DIRETRIZ DE UTILIZAÇÃO);;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SIMPATECTOMIA;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SIMPATECTOMIA POR VIDEOTORACOSCOPIA;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSPOSIÇÃO DE NERVO;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DAS NEUROPATIAS COMPRESSIVAS;;;;;;;;;;NERVOS PERIFÉRICOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESCOMPRESSÃO VASCULAR DE NERVOS CRANIANOS;;;;;;;;;;NERVOS CRANIANOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEUROTOMIA SELETIVA DO TRIGÊMIO;;;;;;;;;;NERVOS CRANIANOS;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO DO SISTEMA NERVOSO AUTÔNOMO;;;;;;;;;;SISTEMA NERVOSO AUTÔNOMO;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LESÃO DO SISTEMA NERVOSO AUTÔNOMO;;;;;;;;;;SISTEMA NERVOSO AUTÔNOMO;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
;;;;;;;;;;;;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;;;;;;;;SUBGRUPO;GRUPO;CAPÍTULO
TRATAMENTO DA SÍNDROME DO DESFILADEIRO CÉRVICO TORÁCICO;;;;;;;;;;SISTEMA NERVOSO AUTÔNOMO;SISTEMA NERVOSO - CENTRAL E PERIFÉRICO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA PARA TRANSPLANTE;;;;;;;;;;CÓRNEA;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSPLANTE DE CÓRNEA;;;;;;;;;;CÓRNEA;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSPLANTE HEPÁTICO (RECEPTOR E DOADOR VIVO OU DOADOR FALECIDO);546/2022;03/10/2022;;;;;;;;FÍGADO E VIAS BILIARES;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFRECTOMIA EM DOADOR VIVO;;;;;;;;;;RIM;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEFRECTOMIA LAPAROSCÓPICA EM DOADOR VIVO - PARA TRANSPLANTE;;;;;;;;;;RIM;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA PARA TRANSPLANTE;;;;;;;;;;RIM;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSPLANTE RENAL (RECEPTOR E DOADOR VIVO OU DOADOR FALECIDO);;;;;;;;;;RIM;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AFÉRESE PARA PACIENTE ABO INCOMPATÍVEL;;;;;;;;;;MEDULA ÓSSEA;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLETA DE CÉLULAS PROGENITORAS DA MEDULA ÓSSEA POR PROCESSADORA AUTOMÁTICA (AFÉRESE TERAPÊUTICA);;;;;;;;;;MEDULA ÓSSEA;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLETA DE CÉLULAS PROGENITORAS DA MEDULA ÓSSEA POR PUNÇÃO MEDULAR ASPIRATIVA DIRETA;;;;;;;;;;MEDULA ÓSSEA;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CONGELAMENTO DE CÉLULAS PROGENITORAS DA MEDULA ÓSSEA;;;;;;;;;;MEDULA ÓSSEA;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESCONGELAMENTO DE CÉLULAS PROGENITORAS DA MEDULA ÓSSEA;;;;;;;;;;MEDULA ÓSSEA;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DETERMINAÇÃO DE UNIDADES FORMADORAS DE COLÔNIAS;;;;;;;;;;MEDULA ÓSSEA;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DETERMINAÇÃO DE VIABILIDADE CELULAR;;;;;;;;;;MEDULA ÓSSEA;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESTIMULAÇÃO E MOBILIZAÇÃO DE CÉLULAS CD34 POSITIVAS;;;;;;;;;;MEDULA ÓSSEA;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MANUTENÇÃO POR CONGELAMENTO DE CÉLULAS PROGENITORAS DA MEDULA ÓSSEA (ATÉ 2 ANOS);;;;;;;;;;MEDULA ÓSSEA;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PREPARO E FILTRAÇÃO DO ASPIRADO DE MEDULA ÓSSEA;;;;;;;;;;MEDULA ÓSSEA;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PREPARO PARA CONGELAMENTO DE CÉLULAS PROGENITORAS DA MEDULA ÓSSEA;;;;;;;;;;MEDULA ÓSSEA;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
;;;;;;;;;;;;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;;;;;;;;SUBGRUPO;GRUPO;CAPÍTULO
PROCESSAMENTO DE CÉLULAS PROGENITORAS DA MEDULA ÓSSEA;;;;;;;;;;MEDULA ÓSSEA;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
QUANTIFICAÇÃO DE CÉLULAS CD34 POSITIVAS;;;;;;;;;;MEDULA ÓSSEA;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSPLANTE ALOGÊNICO DE MEDULA ÓSSEA (COM DIRETRIZ DE UTILIZAÇÃO);;;;;;;;;;MEDULA ÓSSEA;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRANSPLANTE AUTÓLOGO DE MEDULA ÓSSEA (COM DIRETRIZ DE UTILIZAÇÃO);;;;;;;;;;MEDULA ÓSSEA;TRANSPLANTES DE ÓRGÃOS OU TECIDOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ANALGESIA POR CATETER PERIDURAL;;;;;;;;;;BLOQUEIOS ANESTÉSICOS DE NERVOS E ESTÍMULOS NEUROVASCULARES;OUTROS PROCEDIMENTOS INVASIVOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ANESTESIA GERAL OU CONDUTIVA PARA REALIZAÇÃO DE BLOQUEIO NEUROLÍTICO;;;;;;;;;;BLOQUEIOS ANESTÉSICOS DE NERVOS E ESTÍMULOS NEUROVASCULARES;OUTROS PROCEDIMENTOS INVASIVOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO ANESTÉSICO DE NERVOS CRANIANOS;;;;;;;;;;BLOQUEIOS ANESTÉSICOS DE NERVOS E ESTÍMULOS NEUROVASCULARES;OUTROS PROCEDIMENTOS INVASIVOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO ANESTÉSICO DE PLEXO CELÍACO;;;;;;;;;;BLOQUEIOS ANESTÉSICOS DE NERVOS E ESTÍMULOS NEUROVASCULARES;OUTROS PROCEDIMENTOS INVASIVOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO ANESTÉSICO SIMPÁTICO;;;;;;;;;;BLOQUEIOS ANESTÉSICOS DE NERVOS E ESTÍMULOS NEUROVASCULARES;OUTROS PROCEDIMENTOS INVASIVOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO DE ARTICULAÇÃO TÊMPORO-MANDIBULAR;;;;;;;;;;BLOQUEIOS ANESTÉSICOS DE NERVOS E ESTÍMULOS NEUROVASCULARES;OUTROS PROCEDIMENTOS INVASIVOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO DE GÂNGLIO ESTRELADO COM ANESTÉSICO LOCAL;;;;;;;;;;BLOQUEIOS ANESTÉSICOS DE NERVOS E ESTÍMULOS NEUROVASCULARES;OUTROS PROCEDIMENTOS INVASIVOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO DE GÂNGLIO ESTRELADO COM NEUROLÍTICO;;;;;;;;;;BLOQUEIOS ANESTÉSICOS DE NERVOS E ESTÍMULOS NEUROVASCULARES;OUTROS PROCEDIMENTOS INVASIVOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO DE NERVO PERIFÉRICO;;;;;;;;;;BLOQUEIOS ANESTÉSICOS DE NERVOS E ESTÍMULOS NEUROVASCULARES;OUTROS PROCEDIMENTOS INVASIVOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO ANESTÉSICO DE PLEXOS NERVOSOS (LOMBOSSACRO, BRAQUIAL, CERVICAL) PARA TRATAMENTO DE DOR;;;;;;;;;;BLOQUEIOS ANESTÉSICOS DE NERVOS E ESTÍMULOS NEUROVASCULARES;OUTROS PROCEDIMENTOS INVASIVOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO FACETÁRIO PARA-ESPINHOSO;;;;;;;;;;BLOQUEIOS ANESTÉSICOS DE NERVOS E ESTÍMULOS NEUROVASCULARES;OUTROS PROCEDIMENTOS INVASIVOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO NEUROLÍTICO DE NERVOS CRANIANOS OU CÉRVICO-TORÁCICO;;;;;;;;;;BLOQUEIOS ANESTÉSICOS DE NERVOS E ESTÍMULOS NEUROVASCULARES;OUTROS PROCEDIMENTOS INVASIVOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO NEUROLÍTICO DO PLEXO CELÍACO, SIMPÁTICO LOMBAR OU TORÁCICO;;;;;;;;;;BLOQUEIOS ANESTÉSICOS DE NERVOS E ESTÍMULOS NEUROVASCULARES;OUTROS PROCEDIMENTOS INVASIVOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO NEUROLÍTICO PERIDURAL OU SUBARACNÓIDEO;;;;;;;;;;BLOQUEIOS ANESTÉSICOS DE NERVOS E ESTÍMULOS NEUROVASCULARES;OUTROS PROCEDIMENTOS INVASIVOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BLOQUEIO PERIDURAL OU SUBARACNÓIDEO COM CORTICÓIDE;;;;;;;;;;BLOQUEIOS ANESTÉSICOS DE NERVOS E ESTÍMULOS NEUROVASCULARES;OUTROS PROCEDIMENTOS INVASIVOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
;;;;;;;;;;;;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;;;;;;;;SUBGRUPO;GRUPO;CAPÍTULO
BLOQUEIO SIMPÁTICO POR VIA VENOSA;;;;;;;;;;BLOQUEIOS ANESTÉSICOS DE NERVOS E ESTÍMULOS NEUROVASCULARES;OUTROS PROCEDIMENTOS INVASIVOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INSTALAÇÃO DE BOMBA DE INFUSÃO PARA ANALGESIA EM DOR AGUDA OU CRÔNICA, POR QUALQUER VIA;;;;;;;;;;BLOQUEIOS ANESTÉSICOS DE NERVOS E ESTÍMULOS NEUROVASCULARES;OUTROS PROCEDIMENTOS INVASIVOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PASSAGEM DE CATÉTER PERIDURAL OU SUBARACNÓIDEO COM BLOQUEIO DE PROVA;;;;;;;;;;BLOQUEIOS ANESTÉSICOS DE NERVOS E ESTÍMULOS NEUROVASCULARES;OUTROS PROCEDIMENTOS INVASIVOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ECG CONVENCIONAL;;;;;;;;;;ECG - TE;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ECG DE ALTA RESOLUÇÃO;;;;;;;;;;ECG - TE;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ERGOESPIROMETRIA OU TESTE CARDIOPULMONAR DE EXERCÍCIO COMPLETO (ESPIROMETRIA FORÇADA, CONSUMO DE O2, PRODUÇÃO DE CO2 E DERIVADOS, ECG, OXIMETRIA);;;;;;;;;;ECG - TE;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ESTUDO DA VARIABILIDADE DA FREQUÊNCIA CARDÍACA;;;;;;;;;;ECG - TE;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TESTE ERGOMÉTRICO (INCLUI ECG BASAL CONVENCIONAL) - COM DIRETRIZ DE UTILIZAÇÃO;;;;;;;;;;ECG - TE;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TESTE ERGOMÉTRICO COM MEDIDA DE GASES EXPIRADOS (TESTE CARDIOPULMONAR DE EXERCÍCIO) COM OU SEM ELETROCARDIOGRAMA;;;;;;;;;;ECG - TE;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
TESTE ERGOMÉTRICO COM REALIZAÇÃO DE GASOMETRIA ARTERIAL;;;;;;;;;;ECG - TE;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
MANOMETRIA ANORRETAL;;;;;;;;;;TUBO DIGESTIVO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
MANOMETRIA ESOFÁGICA COM OU SEM TESTE PROVOCATIVO;;;;;;;;;;TUBO DIGESTIVO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
MANOMETRIA ESOFÁGICA PARA LOCALIZAÇÃO DOS ESFÍNCTERES PRÉ-PH-METRIA;;;;;;;;;;TUBO DIGESTIVO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
PH-METRIA ESOFÁGICA;;;;;;;;;;TUBO DIGESTIVO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
PLETISMOGRAFIA PENIANA NOTURNA;;;;;;;;;;TUBO DIGESTIVO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
AUDIOMETRIA TONAL LIMIAR;;;;;;;;;;SISTEMA NERVOSO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
AUDIOMETRIA TONAL LIMIAR CONDICIONADA;;;;;;;;;;SISTEMA NERVOSO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
AUDIOMETRIA VOCAL - PESQUISA DE LIMIAR DE DISCRIMINAÇÃO/INTELIGIBILIDADE (LOGOAUDIOMETRIA);;;;;;;;;;SISTEMA NERVOSO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
AUDIOMETRIA VOCAL COM MENSAGEM COMPETITIVA (COM DIRETRIZ DE UTILIZAÇÃO);;;;;;;;;;SISTEMA NERVOSO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
;;;;;;;;;;;;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;;;;;;;;SUBGRUPO;GRUPO;CAPÍTULO
AVALIAÇÃO DO PROCESSAMENTO AUDITIVO CENTRAL (COM DIRETRIZ DE UTILIZAÇÃO);;;;;;;;;;SISTEMA NERVOSO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
EEG INTRA-OPERATÓRIO PARA MONITORIZAÇÃO CIRÚRGICA NÃO NEUROLÓGICA (EEG/IO);;;;;;;;;;SISTEMA NERVOSO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ELETROENCEFALOGRAMA DIGITAL QUANTITATIVO (MAPEAMENTO CEREBRAL) COM OU SEM ANÁLISE DE COERÊNCIA;;;;;;;;;;SISTEMA NERVOSO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ELETROCOCLEOGRAFIA (ECOCHG);;;;;;;;;;SISTEMA NERVOSO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ELETROCORTICOGRAFIA INTRA-OPERATÓRIA (ECOG);;;;;;;;;;SISTEMA NERVOSO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ELETROENCEFALOGRAMA ESPECIAL: TERAPIA INTENSIVA, MORTE CEREBRAL, SONO, SEDAÇÃO, EEG PROLONGADO;;;;;;;;;;SISTEMA NERVOSO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ELETROENCEFALOGRAMA DE ROTINA, VIGÍLIA OU SONO, HIPERVENTILAÇÃO, FOTOESTIMULAÇÃO, ANALÓGICO OU DIGITAL (EEG/R);;;;;;;;;;SISTEMA NERVOSO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ELETROGLOTOGRAFIA;;;;;;;;;;SISTEMA NERVOSO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ELETRONEUROMIOGRAFIA DE QUALQUER SEGMENTO COM OU SEM REGISTRO DE MOVIMENTO INVOLUNTÁRIO;;;;;;;;;;SISTEMA NERVOSO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ELETRONEUROMIOGRAFIA GENITOPERINEAL;;;;;;;;;;SISTEMA NERVOSO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ELETRO-OCULOGRAFIA;;;;;;;;;;SISTEMA NERVOSO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
ELETRO-RETINOGRAFIA;;;;;;;;;;SISTEMA NERVOSO;ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS;PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS
